SID,SSID,SampleYear,Waterbody,SubSampleName,SubSampleDate,HoursEffort,Species,Len,Wt,Number,Age
2461,12151,2008,Buffalo River,1,10/09/2008,0.472777778,,,,,
2461,12152,2008,Buffalo River,2,10/09/2008,0.434444444,,,,,
2461,12153,2008,Buffalo River,3,10/09/2008,0.627222222,,,,,
2461,12154,2008,Buffalo River,4,10/09/2008,0.546944444,,,,,
2461,12155,2008,Buffalo River,5,10/09/2008,0.6,,,,,
2462,12156,2008,Buffalo River,1,10/14/2008,0.206388889,,,,,
2462,12157,2008,Buffalo River,2,10/14/2008,0.200833333,,,,,
2462,12158,2008,Buffalo River,3,10/14/2008,0.555,,,,,
2462,12159,2008,Buffalo River,4,10/14/2008,0.235833333,,,,,
2462,12160,2008,Buffalo River,5,10/14/2008,0.4425,,,,,
2462,12161,2008,Buffalo River,6,10/14/2008,0.226944444,,,,,
2462,12162,2008,Buffalo River,7,10/14/2008,0.798888889,,,,,
2463,12163,2008,Buffalo River,1,10/15/2008,0.429444444,,,,,
2463,12164,2008,Buffalo River,2,10/15/2008,0.48,,,,,
2463,12165,2008,Buffalo River,3,10/15/2008,0.469166667,,,,,
2464,12166,2008,Buffalo River,1,10/16/2008,1.199444444,,,,,
2464,12167,2008,Buffalo River,2,10/16/2008,0.323611111,,,,,
2464,12168,2008,Buffalo River,3,10/16/2008,0.939722222,,,,,
2464,12169,2008,Buffalo River,4,10/16/2008,0.491111111,,,,,
2506,12271,2002,Buffalo River,1,10/03/2002,0.173888889,,,,,
2506,12272,2002,Buffalo River,2,10/03/2002,0.269166667,,,,,
2506,12273,2002,Buffalo River,3,10/03/2002,0.099166667,,,,,
2507,12274,2006,Buffalo River,1,10/11/2006,0.716111111,,,,,
2507,12275,2006,Buffalo River,2,10/11/2006,0.515,,,,,
2507,12276,2006,Buffalo River,3,10/11/2006,0.723888889,,,,,
2508,12277,2006,Buffalo River,2,10/13/2006,0.373333333,,,,,
2508,12278,2006,Buffalo River,3,10/13/2006,0.48,,,,,
2508,12279,2006,Buffalo River,1,10/13/2006,0.266944444,,,,,
2509,12280,2007,Buffalo River,1,03/22/2007,0.307222222,,,,,
2509,12281,2007,Buffalo River,2,03/22/2007,0.338611111,,,,,
2509,12282,2007,Buffalo River,3,03/22/2007,0.353888889,,,,,
2509,12283,2007,Buffalo River,4,03/22/2007,0.373611111,,,,,
2509,12284,2007,Buffalo River,5,03/22/2007,0.074722222,,,,,
2509,12285,2007,Buffalo River,6,03/22/2007,0.174722222,,,,,
2509,12286,2007,Buffalo River,7,03/22/2007,0.172222222,,,,,
2510,12287,2007,Buffalo River,1,10/02/2007,0.4475,,,,,
2510,12288,2007,Buffalo River,2,10/02/2007,0.206944444,,,,,
2511,12289,2007,Buffalo River,1,10/02/2007,0.511666667,,,,,
